artifact	size	sha256	manifest_sha256	lib_sha256	www_sha256	core_validation_sha256	abis	native_lib_count
NorMaker-0.1-android-corpus-integrated-debug.apk	11211549	4e194ab75afaffb32146ed2c17bf1c4802a8fb785d6317e77de5c00e6dfbdfec	9c201c179346675a49f8a7480a0ddab600ffe6ae90bb87c7a2628c4287fe4240	39081c7f89432b31c6813e250eb800072d9fb84f57f005e666910eec66b86257	da942d26cc1574e11b1bb75c8899fab5fdbd090a23c9c8b204ee1bb2f09d40b6	b84a62e22c699952748fa4afea6b9501dd97e73dddea5cf7bc8e46e643bda1e3	arm64-v8a,armeabi-v7a,x86,x86_64	4
NorMaker-0.1-beta-opengmk-notice-debug.apk	11211804	f8e48a1bdacbef1db36ec406e491fbf085eb43c9606bb3949e472ab037cf2330	9c201c179346675a49f8a7480a0ddab600ffe6ae90bb87c7a2628c4287fe4240	d55abf8d08e07e27bfb08ccd895145729111815baad298bccbcd143bb45774d5	da942d26cc1574e11b1bb75c8899fab5fdbd090a23c9c8b204ee1bb2f09d40b6	228d30ed36b1cc53c0ec280bab1382dce69b50d1fb313b40323f22d17b09983a	arm64-v8a,armeabi-v7a,x86,x86_64	4
NorMaker-0.1-core-batch-2-debug.apk	11208747	bcb58964fb44bf44298a863e1df971dff33eb8eb763d99323580dcbc3abd7479	9c201c179346675a49f8a7480a0ddab600ffe6ae90bb87c7a2628c4287fe4240	61579c12539cac175f9f140e32636d070857a1fbbc70d2f025b8d4e3ad44303b	da942d26cc1574e11b1bb75c8899fab5fdbd090a23c9c8b204ee1bb2f09d40b6	29bf361b3178c6482ce220f2ca5d929ea5d3fff1dffd56afaf284c652599ec1a	arm64-v8a,armeabi-v7a,x86,x86_64	4
NorMaker-0.1-core-runtime-smoke-release-signed.apk	8349577	04732c529b168d34477f07a29660cf5684f1aa85e9fd8812bfbd724e8b57b925	a665c4ca5daf0327d3fb492e09bc2ec2ed07d8af5805b00f76b15990e2529bcf	c6633194093cac84bb04ffb4742fa4fa49e01914b92dc06edb468e264dbd05f4	37cfa20c899637ed8323402500dde629f142d4ea683b36d5171eb90c7a90b119	abcfa6a9d4df344d1781bc2560b5e4cdcae08b39ed303063535e7e1e926a304a	arm64-v8a,armeabi-v7a,x86,x86_64	4
NorMaker-0.1-current-native-core-debug.apk	1636308	3381daea23acc587a2bab0380da50bf18724c79b8353f76804b2796edfde6586	9c201c179346675a49f8a7480a0ddab600ffe6ae90bb87c7a2628c4287fe4240	226404bf87021150064ae81068704eeac753b9342c0568948af5a9199f16c64a		5f03daa7c99edcae42f1663450d614e518ae0d792db124a26db036091d9d050d	arm64-v8a,armeabi-v7a,x86,x86_64	4
NorMaker-0.1-current-updated-debug.apk	11216666	1d51e0d184beda02eb5140e83f8a65127b066e47587d22735f1de534efc105b6	9c201c179346675a49f8a7480a0ddab600ffe6ae90bb87c7a2628c4287fe4240	f18a3bd6c2da981be992a5cd2213789212f813c53745f3166eca6260672fe8a6	da942d26cc1574e11b1bb75c8899fab5fdbd090a23c9c8b204ee1bb2f09d40b6	69abb55fdcf95cafef59576f4b26249aaf63015be154b68b5750d0f42f6eb7cd	arm64-v8a,armeabi-v7a,x86,x86_64	4
NorMaker-0.1-full-android-control-fix-debug.apk	11211549	2761ebcea9d90c104d4d50969a4de281eada80e3e63552b8439ec1da1dce2dd2	9c201c179346675a49f8a7480a0ddab600ffe6ae90bb87c7a2628c4287fe4240	f8902e669f579f2813d874d8ee088cb2cee4cac1da3b46698754ec5415f5baf3	da942d26cc1574e11b1bb75c8899fab5fdbd090a23c9c8b204ee1bb2f09d40b6	d7b14031653d61f6b7231f2d767c77949acd39afcf62433646351cbe54ef33b2	arm64-v8a,armeabi-v7a,x86,x86_64	4
NorMaker-0.1-full-core-batch-debug.apk	11213290	2e39debc8f4896b3b172714e180dd45bb3e38d70afc866b168e935bef5b826a6	9c201c179346675a49f8a7480a0ddab600ffe6ae90bb87c7a2628c4287fe4240	e67efffad4eea632d904ca1cc57fe53517b4ff47bdd30595478de45fb85eefe8	da942d26cc1574e11b1bb75c8899fab5fdbd090a23c9c8b204ee1bb2f09d40b6	314cacf8eb21d3ef82733e813bc4846191828936b32cea6942aced9378371c04	arm64-v8a,armeabi-v7a,x86,x86_64	4
NorMaker-0.1-gmk-format-detection-debug.apk	10932860	540951dea668089ecb59f6d6f0e5379b1c472f39b6ffd402e74bb320b815f006	eb1b8b2296d66e86b074d712af55829e115f300c142116f529e85dc6b919f16d	5b603816e2ce5a03b86b527499c3e50208277769ea2e27d5a660192d593413cd	da942d26cc1574e11b1bb75c8899fab5fdbd090a23c9c8b204ee1bb2f09d40b6	abcfa6a9d4df344d1781bc2560b5e4cdcae08b39ed303063535e7e1e926a304a	arm64-v8a,armeabi-v7a,x86,x86_64	4
NorMaker-0.1-gmk-gmx-serializer-debug.apk	10932860	039a2ec33198c8396537b799358ccc0128507463c56505573920ea4dc5a0ba8c	eb1b8b2296d66e86b074d712af55829e115f300c142116f529e85dc6b919f16d	9565ebfa3793071da32df70d0c2b66a3e726ed675b23b2edc5c1c53066af8c5a	da942d26cc1574e11b1bb75c8899fab5fdbd090a23c9c8b204ee1bb2f09d40b6	abcfa6a9d4df344d1781bc2560b5e4cdcae08b39ed303063535e7e1e926a304a	arm64-v8a,armeabi-v7a,x86,x86_64	4
NorMaker-0.1-gmk-gmx-writers-debug.apk	10932860	8d8a9bbd1f8f9cd90f82f1f80b84881a8f436b8c2293e35359b9d40bce2ff95c	eb1b8b2296d66e86b074d712af55829e115f300c142116f529e85dc6b919f16d	9f85a10e3301069861d0b1b112fc4e7a8ee015f3aaed4bbb14ae41946b44a926	da942d26cc1574e11b1bb75c8899fab5fdbd090a23c9c8b204ee1bb2f09d40b6	abcfa6a9d4df344d1781bc2560b5e4cdcae08b39ed303063535e7e1e926a304a	arm64-v8a,armeabi-v7a,x86,x86_64	4
NorMaker-0.1-gmk-index-current-debug.apk	11061604	60427b8c1cfa861d8f24be02d51b6750b0165c3b0b6f76a0486bf9573cf6d011	9c201c179346675a49f8a7480a0ddab600ffe6ae90bb87c7a2628c4287fe4240	8e7e98d74720fc65b436591705fc1ac2991c26a05830e9e03b0c41c7c8237586	da942d26cc1574e11b1bb75c8899fab5fdbd090a23c9c8b204ee1bb2f09d40b6	0a2beba0a51c5caf54d8b113932c9c3c67ad865ab1e481f687821dcf69bfafb5	arm64-v8a,armeabi-v7a,x86,x86_64	4
NorMaker-0.1-gmk-ir-batch-debug.apk	11208965	7e0320aa0af9d7c7ecdce9b2dfa553156dfb995db96292b2e880d5dc8dba8837	9c201c179346675a49f8a7480a0ddab600ffe6ae90bb87c7a2628c4287fe4240	de5d038977ac56cfb4cef3e4347a4c56ce9ea6d43f0d67339d3bd510d9c3ce7b	da942d26cc1574e11b1bb75c8899fab5fdbd090a23c9c8b204ee1bb2f09d40b6	492b1b1545dab35a8707b3cb0c161217567b881989135954ad3bce60aab8a2bb	arm64-v8a,armeabi-v7a,x86,x86_64	4
